Dataset Summary:
    Label    Count
    _____    _____

    akiec     327 
    bcc       514 
    bkl      1099 
    df        115 
    mel      1113 
    nv       6705 
    vasc      142 

Training data:
    Label    Count
    _____    _____

    akiec     262 
    bcc       411 
    bkl       879 
    df         92 
    mel       890 
    nv       5364 
    vasc      114 

Validation data:
    Label    Count
    _____    _____

    akiec      65 
    bcc       103 
    bkl       220 
    df         23 
    mel       223 
    nv       1341 
    vasc       28 

Training CNN...
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      15 |        3570 |       00:38:26 |       90.62% |       82.78% |       0.2516 |       0.7297 |      1.0000e-04 |
|      15 |        3600 |       00:38:43 |      100.00% |       84.77% |       0.0366 |       0.5562 |      1.0000e-04 |
|      15 |        3630 |       00:39:00 |       93.75% |       83.82% |       0.1299 |       0.6478 |      1.0000e-04 |
|      15 |        3650 |       00:39:08 |       96.88% |              |       0.0837 |              |      1.0000e-04 |
|      15 |        3660 |       00:39:18 |       93.75% |       83.13% |       0.1218 |       0.6230 |      1.0000e-04 |
|      15 |        3690 |       00:39:34 |       87.50% |       82.78% |       0.1841 |       0.6279 |      1.0000e-04 |
|      15 |        3700 |       00:39:38 |       84.38% |              |       0.2379 |              |      1.0000e-04 |
|      15 |        3720 |       00:39:51 |       90.62% |       82.98% |       0.1672 |       0.6490 |      1.0000e-04 |
|      15 |        3750 |       00:40:08 |       93.75% |       83.13% |       0.0974 |       0.6626 |      1.0000e-04 |
|      16 |        3780 |       00:40:25 |       96.88% |       84.32% |       0.0748 |       0.5935 |      1.0000e-04 |
|      16 |        3800 |       00:40:32 |       93.75% |              |       0.1018 |              |      1.0000e-04 |
|      16 |        3810 |       00:40:42 |      100.00% |       84.02% |       0.0213 |       0.6454 |      1.0000e-04 |
|      16 |        3840 |       00:41:00 |      100.00% |       83.18% |       0.0407 |       0.6381 |      1.0000e-04 |
|      16 |        3850 |       00:41:04 |       96.88% |              |       0.0529 |              |      1.0000e-04 |
|      16 |        3870 |       00:41:18 |       96.88% |       83.18% |       0.1277 |       0.6922 |      1.0000e-04 |
|      16 |        3900 |       00:41:37 |       93.75% |       82.73% |       0.1039 |       0.6237 |      1.0000e-04 |
|      16 |        3930 |       00:41:54 |       93.75% |       82.43% |       0.3349 |       0.6624 |      1.0000e-04 |
|      16 |        3950 |       00:42:01 |       96.88% |              |       0.1316 |              |      1.0000e-04 |
|      16 |        3960 |       00:42:11 |       84.38% |       85.42% |       0.2027 |       0.6103 |      1.0000e-04 |
|      16 |        3990 |       00:42:28 |       90.62% |       83.18% |       0.2569 |       0.6718 |      1.0000e-04 |
|      16 |        4000 |       00:42:31 |      100.00% |              |       0.0537 |              |      1.0000e-04 |
|      17 |        4020 |       00:42:45 |       84.38% |       83.87% |       0.3548 |       0.6114 |      1.0000e-04 |
|      17 |        4050 |       00:43:02 |       96.88% |       84.77% |       0.2199 |       0.5919 |      1.0000e-04 |
|      17 |        4080 |       00:43:19 |       93.75% |       83.33% |       0.1113 |       0.6939 |      1.0000e-04 |
|      17 |        4100 |       00:43:26 |       93.75% |              |       0.1678 |              |      1.0000e-04 |
|      17 |        4110 |       00:43:37 |       96.88% |       83.67% |       0.0711 |       0.6622 |      1.0000e-04 |
|      17 |        4140 |       00:43:55 |      100.00% |       83.47% |       0.0210 |       0.6495 |      1.0000e-04 |
|      17 |        4150 |       00:43:58 |      100.00% |              |       0.0376 |              |      1.0000e-04 |
