Dataset Summary:
    Label    Count
    _____    _____

    akiec     327 
    bcc       514 
    bkl      1099 
    df        115 
    mel      1113 
    nv       6705 
    vasc      142 

Training data:
    Label    Count
    _____    _____

    akiec     262 
    bcc       411 
    bkl       879 
    df         92 
    mel       890 
    nv       5364 
    vasc      114 

Validation data:
    Label    Count
    _____    _____

    akiec      65 
    bcc       103 
    bkl       220 
    df         23 
    mel       223 
    nv       1341 
    vasc       28 

Training CNN with Attention Mechanism...
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      12 |        2910 |       01:05:02 |       90.62% |       82.43% |       0.2152 |       0.5747 |          0.0005 |
|      12 |        2940 |       01:05:30 |       90.62% |       81.28% |       0.2158 |       0.5980 |          0.0005 |
|      12 |        2950 |       01:05:35 |       87.50% |              |       0.3539 |              |          0.0005 |
|      12 |        2970 |       01:05:59 |       90.62% |       81.68% |       0.2208 |       0.5910 |          0.0005 |
|      12 |        3000 |       01:06:27 |       90.62% |       82.13% |       0.1838 |       0.5865 |          0.0005 |
|      13 |        3030 |       01:06:56 |       87.50% |       80.28% |       0.2677 |       0.6008 |          0.0005 |
|      13 |        3050 |       01:07:06 |       93.75% |              |       0.2399 |              |          0.0005 |
|      13 |        3060 |       01:07:26 |       90.62% |       82.73% |       0.1964 |       0.5951 |          0.0005 |
|      13 |        3090 |       01:07:54 |       96.88% |       81.58% |       0.0992 |       0.6287 |          0.0005 |
|      13 |        3100 |       01:07:59 |       90.62% |              |       0.2148 |              |          0.0005 |
|      13 |        3120 |       01:08:21 |       81.25% |       81.18% |       0.3777 |       0.6452 |          0.0005 |
|      13 |        3150 |       01:08:50 |       90.62% |       82.28% |       0.2971 |       0.5869 |          0.0005 |
|      13 |        3180 |       01:09:17 |       84.38% |       82.23% |       0.3627 |       0.5874 |          0.0005 |
|      13 |        3200 |       01:09:29 |       93.75% |              |       0.2192 |              |          0.0005 |
|      13 |        3210 |       01:09:46 |       87.50% |       82.33% |       0.2180 |       0.5908 |          0.0005 |
|      13 |        3240 |       01:10:13 |       78.12% |       82.33% |       0.5280 |       0.6089 |          0.0005 |
|      13 |        3250 |       01:10:18 |       90.62% |              |       0.1873 |              |          0.0005 |
|      14 |        3270 |       01:10:41 |       87.50% |       82.83% |       0.4118 |       0.6383 |          0.0005 |
|      14 |        3300 |       01:11:08 |       93.75% |       82.88% |       0.2349 |       0.6217 |          0.0005 |
|      14 |        3330 |       01:11:36 |       93.75% |       82.33% |       0.2799 |       0.6193 |          0.0005 |
|      14 |        3350 |       01:11:46 |       90.62% |              |       0.1887 |              |          0.0005 |
|      14 |        3360 |       01:12:04 |       90.62% |       82.43% |       0.2250 |       0.6138 |          0.0005 |
|      14 |        3390 |       01:12:31 |       90.62% |       82.73% |       0.2697 |       0.6049 |          0.0005 |
|      14 |        3400 |       01:12:37 |       90.62% |              |       0.2198 |              |          0.0005 |
|      14 |        3420 |       01:13:00 |       96.88% |       83.47% |       0.0643 |       0.5739 |          0.0005 |
|      14 |        3450 |       01:13:29 |       87.50% |       83.08% |       0.3237 |       0.6025 |          0.0005 |
|      14 |        3480 |       01:13:59 |       90.62% |       81.98% |       0.2921 |       0.5902 |          0.0005 |
|      14 |        3500 |       01:14:10 |       81.25% |              |       0.2581 |              |          0.0005 |
|      15 |        3510 |       01:14:27 |       93.75% |       81.43% |       0.2141 |       0.6374 |          0.0005 |
|      15 |        3540 |       01:14:54 |       93.75% |       82.93% |       0.2041 |       0.6163 |          0.0005 |
|      15 |        3550 |       01:15:00 |       87.50% |              |       0.2753 |              |          0.0005 |
|      15 |        3570 |       01:15:22 |       87.50% |       82.83% |       0.2915 |       0.5991 |          0.0005 |
|      15 |        3600 |       01:15:50 |       84.38% |       82.73% |       0.3344 |       0.6263 |          0.0005 |
|      15 |        3630 |       01:16:18 |       87.50% |       82.23% |       0.3976 |       0.6094 |          0.0005 |
|      15 |        3650 |       01:16:29 |       90.62% |              |       0.2518 |              |          0.0005 |
|      15 |        3660 |       01:16:46 |       93.75% |       81.63% |       0.1513 |       0.6518 |          0.0005 |
|      15 |        3690 |       01:17:14 |       93.75% |       82.23% |       0.1049 |       0.6148 |          0.0005 |
|      15 |        3700 |       01:17:19 |      100.00% |              |       0.1046 |              |          0.0005 |
|      15 |        3720 |       01:17:42 |       93.75% |       80.93% |       0.1363 |       0.6178 |          0.0005 |
|      15 |        3750 |       01:18:10 |       90.62% |       82.43% |       0.3104 |       0.5800 |          0.0005 |
|      16 |        3780 |       01:18:39 |       90.62% |       82.63% |       0.2498 |       0.6193 |          0.0005 |
|      16 |        3800 |       01:18:51 |       96.88% |              |       0.1073 |              |          0.0005 |
|      16 |        3810 |       01:19:08 |       93.75% |       82.83% |       0.1546 |       0.6046 |          0.0005 |
|      16 |        3840 |       01:19:37 |       93.75% |       82.68% |       0.1187 |       0.6144 |          0.0005 |
|      16 |        3850 |       01:19:42 |       90.62% |              |       0.2446 |              |          0.0005 |
|      16 |        3870 |       01:20:05 |       93.75% |       82.08% |       0.1539 |       0.6339 |          0.0005 |
|      16 |        3900 |       01:20:34 |       93.75% |       82.78% |       0.1816 |       0.6010 |          0.0005 |
|      16 |        3930 |       01:21:02 |       93.75% |       82.73% |       0.1286 |       0.5890 |          0.0005 |
|      16 |        3950 |       01:21:13 |       90.62% |              |       0.3010 |              |          0.0005 |
|      16 |        3960 |       01:21:32 |      100.00% |       83.18% |       0.1310 |       0.5970 |          0.0005 |
|      16 |        3990 |       01:22:01 |       90.62% |       82.23% |       0.2065 |       0.6085 |          0.0005 |
|      16 |        4000 |       01:22:07 |       93.75% |              |       0.2051 |              |          0.0005 |
|      17 |        4020 |       01:22:26 |       90.62% |       82.83% |       0.2283 |       0.6050 |          0.0005 |
|      17 |        4050 |       01:22:56 |       93.75% |       81.98% |       0.1542 |       0.5859 |          0.0005 |
